Siguldas novads,Siguldas apriņķis,B,"Siguldas novada Siguldas Valsts ģimnāzijas deju kolektīvs ""Vizbulīte""",Indra Ozoliņa,"58,3",Augstākā pakāpe,"48,3",10
Balvu novads,Balvu apriņķis,B,"Balvu Kultūras un atpūtas centra deju kopa ""Rika""",Agris Veismanis,"58,2",Augstākā pakāpe,"48,2",10
Jelgavas pilsēta,Jelgavas pilsēta,B,"Jelgavas pilsētas pašvaldības iestādes ""Kultūra"" Tautas deju ansamblis ""Lielupe""",Elita Simsone,"58,0",Augstākā pakāpe,"48,0",10
Rīgas pilsēta,Rīgas pilsēta,B,Rīgas Franču liceja deju kolektīvs „AUSEKLĪTIS”,Iveta Pētersone-Lazadāne,"58,0",Augstākā pakāpe,48,10
Ādažu novads,Siguldas apriņķis,B,"Ādažu novada Ādažu vidusskolas Jauniešu deju kolektīvs ""Rūta""",Ināra Mičule un Vita Reinbooma,"57,7",Augstākā pakāpe,"47,7",10
Limbažu novads,Limbažu apriņķis,B,"Limbažu Kultūras nama Jauniešu deju kolektīvs ""Jampadracis""",Andis Lēnmanis,"57,3",Augstākā pakāpe,"47,3",10
Rīgas pilsēta,Rīgas pilsēta,B,Agra Daņiļeviča deju skolas „Dzirnas” jauniešu deju kolektīvs „Dzirnas”,Agris Daņiļevičs,"57,3",Augstākā pakāpe,"47,3",10
Aizkraukles novads,Aizkraukles apriņķis,B,"Aizkraukles novada kultūras nama Aizkraukles pagasta Jauniešu deju kolektīvs ""Pēda""",Una Stakle,"57,2",Augstākā pakāpe,"47,2",10
Jelgavas pilsēta,Jelgavas pilsēta,B,"Jelgavas Bērnu un jauniešu centra ""Junda"" Jauniešu deju kolektīvs ""Jundari""",Madlēna Bratkus,"56,8",Augstākā pakāpe,"46,8",10
Jūrmalas pilsēta,Tukuma apriņķis,B,Jūrmalas pilsētas Kultūras centra jauniešu deju kolektīvs “Zālīte”,Zanda Pakere,"56,7",Augstākā pakāpe,"46,7",10
Rīgas pilsēta,Rīgas pilsēta,B,VEF Kultūras pils Tautas deju ansamblis „Zelta Sietiņš - 2”,Baiba Rasma Šteina,"56,5",Augstākā pakāpe,"46,5",10
Preiļu novads,Preiļu apriņķis,B,Preiļu novada Jāņa Eglīša Preiļu Valsts ģimnāzijas un Preiļu novada kultūras centra jauniešu deju kopa “Gaida” ,Gaida Ivanova ,"56,3",Augstākā pakāpe,"46,3",10
Ādažu novads,Siguldas apriņķis,B,"Ādažu novada Ādažu kultūras centra Tautas deju ansamblis ""Sprigulītis""",Liene Kļaviņa,"56,2",Augstākā pakāpe,"46,2",10
